私は新しいカタカナ辞典を借りました。;わたし は あたらしい かたかな じてん を かりました。;I borrowed a new Katakana dictionary.;hiragana	katakana	translation	applies to	more specifically
彼は大きな水のボトルを持ち上げて、ごくりごくりと飲み始めた。;かれ は おおきな みず の ぼとる を もちあげて ごくり ごくり と のみはじめた。;He lifted the big bottle of water and started gulping it down.;ごくりごくり	ゴクリゴクリ	gulping	onomatopoeia
彼は静かにこくんとうなずいた。;かれ は しずか に こくん と うなずい た。;He quietly nodded his head.;こくん	コクン	to drop one's head (as a nod)	performing an action
彼は水を一気にごくんと飲みました。;かれ は みず を いっき に ごくん と のみました。;He drank the water in one gulp.;ごくん	ゴクン	in a gulp	performing an action	drinking
彼は水をゴクンゴクンと飲んだ。;かれ は みず を ごくんごくん と のんだ 。;He drank the water gulp by gulp.;ごくんごくん	ゴクンゴクン	drinking	onomatopoeia	human noises
毎朝、鶏が「こけこっこー」と鳴くので、私は目を覚まします。;まい あさ 、 にわとり が 「 こけこっこー 」 と なく ので 、 わたし は め を さます 。;Every morning, the rooster crows "cock-a-doodle-doo," waking me up.;こけこっこー	コケコッコー	cock-a-doodle-doo	onomatopoeia	male chicken
彼は床をゴシゴシと磨いた。;かれ　は　ゆか　を　ごしごし　と　みがいた。;He scrubbed the floor hard.;ごしごし	ゴシゴシ	"rub, scrub hard"	performing an action
壁をゴシッゴシッとこすって、掃除しました。;かべ を ごしっ ごしっ と こすって、そうじしました。;I scrubbed the wall with a sawing motion to clean it.;ごしっごしっ	ゴシッゴシッ	sawing	onomatopoeia
部屋を片付けなくちゃ、人とゴシャドシャにぶつかってしまう。;へや を かたづけなくちゃ、ひと と ごしゃどしゃ に ぶつかってしまう。;I need to clean my room, or I'll keep bumping into people with jumbled spatial orientation.;ごしゃどしゃ	ゴシャドシャ	jumbled	spacial orientation
彼の部屋はこせこせしていて、ほとんど動けない。;かれ の へや は こせこせ していて、ほとんど うごけない。;His room is so confined that you can barely move.;こせこせ	コセコセ	confined	available space
彼はいつもこせこせしているので、周りの人は疲れています。;かれ は いつも こせこせ している ので、まわり の ひと は つかれています。;He is always being fussy, so the people around him are tired.;こせこせ	コセコセ	"fussy, make a big deal out of nothing"	personal traits
彼はこそこそと部屋に入った。;かれ は こそこそ と へや に はいった。;He entered the room stealthily.;こそこそ	コソコソ	stealthily	action
彼女は部屋の中でごそごそしていた。;かのじょ は へや の なか で ごそごそ していた。;She was rummaging around in the room.;ごそごそ	ゴソゴソ	rumbling	onomatopoeia
猫が 机の 上を ゴソっと 動いた。;ねこ が つくえ の うえ を ごそっと うごいた。;The cat rustled around on top of the desk.;ごそっ	ゴソッ	rumbling	onomatopoeia
山の上から石がごそっと落ちてきました。;やま の うえ から いし が ごそっと おちて きました。;A large number of stones suddenly fell from the top of the mountain.;ごそっ	ゴソッ	to move (not per se literally) in large numbers	quantity
引っ越しの準備で家がごたごたしています。;ひっこし の じゅんび で いえ が ごたごた して います。;The house is in a jumble due to the preparation for moving.;ごたごた	ゴタゴタ	"mix, jumble"	action
彼らの関係は最近ごたごたしている。;かれら の かんけい は さいきん ごたごた している。;Their relationship has been troubled recently.;ごたごた	ゴタゴタ	"confused, disordered, troubled"	personal relations
引っ越しの準備で家の中がごたごたしている。;ひっこし の じゅんび で いえ の なか が ごたごた している。;The inside of the house is in a state of turmoil due to the move preparations.;ごたごた	ゴタゴタ	"confused, in a state of turmoil"	resultant state
彼の部屋はごたごたしていて、物を見つけるのが大変だ。;かれ の へや は ごたごた していて、もの を みつける の が たいへん だ。;His room is all mixed up, and it's hard to find anything.;ごたごた	ゴタゴタ	mixed up	spacial orientation
社員たちは社長の提案に対して、ごたごた文句を言っていました。;しゃいん たち は しゃちょう の ていあん に たいして、ごたごた もんく を いって いました。;The employees were disorderly complaining about the president's proposal.;ごたごた	ゴタゴタ	talking disorderly about ones grievances	speech
彼はこちこちで動けないようだった。;かれ は こちこち で うごけない よう だった。;He seemed so sore and stiff that he couldn't move.;こちこち	コチコチ	sore and stiff	feelings
時計がコチコチと音を立てている。;とけい が こちこち と おと を たてている。;The clock is ticking.;こちこち	コチコチ	ticking	onomatopoeia
田中さんは真面目でこちこちの性格です。;たなかさん は まじめ で こちこち の せいかく です。;Mr. Tanaka has a serious and strict personality.;こちこち	コチコチ	"strict, rigid"	personal traits
彼の顔は仕事のことでこちこちになっている。;かれ の かお は しごと の こと で こちこち に なっている。;His face has become stiff and rigid because of work.;こちこち	コチコチ	dry and hard	physical state	stiff
このビスケットはこちこちで、おんがえしのような味がする。;この びすけっと は こちこち で、おんがえし の ような あじ が する。;This biscuit is dry and hard, and tastes like a reward.;こちこち	コチコチ	dry and hard	texture
このパンはゴチゴチで食べられません。;この ぱん は ごちごち で たべられません。;This bread is too hard to eat.;ごちごち	ゴチゴチ	hard to bite on	physical state	stiff
この古いパンはごちごちして食べにくいです。;この ふるい ぱん は ごちごち して たべ にくい です。;This old bread is particularly hard and difficult to eat.;ごちごち	ゴチゴチ	particularly hard	texture
私の部屋はいつもごちゃごちゃしていて、どこに何があるのか分からない。;わたし の へや は いつも ごちゃごちゃ していて 、 どこ に なに が ある の か わからない 。;My room is always a jumbled mess, and I can't find anything in it.;ごちゃごちゃ	ゴチャゴチャ	"mix, jumble"	action
彼の机の上はごちゃごちゃだ。;かれ の つくえ の うえ は ごちゃごちゃ だ。;His desk is a mess.;ごちゃごちゃ	ゴチャゴチャ	"be a mess, be confused"	mental state	not with it
彼らの友情は最近ごちゃごちゃしている。;かれら の ゆうじょう は さいきん ごちゃごちゃ している。;Their friendship has been quite mixed up recently.;ごちゃごちゃ	ゴチャゴチャ	"disordered, mixed up, confused"	personal relations
部屋の中がごちゃごちゃしていて、新しい服を見つけられなかった。;へや の なか が ごちゃごちゃ していて、 あたらしい ふく を みつけられなかった。;The room was in such a mess that I couldn't find my new clothes.;ごちゃごちゃ	ゴチャゴチャ	"confused, in disorder"	resultant state
彼の机の上はいつもごちゃごちゃしている。;かれ の つくえ の うえ は いつも ごちゃごちゃ している。;His desk is always mixed up and jumbled.;ごちゃごちゃ	ゴチャゴチャ	"mixed up, jumbled"	spacial orientation
彼の話はごちゃごちゃしていて、何を言いたいのかよくわからない。;かれ の はなし は ごちゃごちゃ していて 、 なに を いいたい のか よく わからない 。;His speech is all jumbled up, so it's hard to understand what he's trying to say.;ごちゃごちゃ	ゴチャゴチャ	griping about trifling matters	speech
彼はいたずらに妹をこちょこちょして、彼女は大笑いした。;かれ は いたずら に いもうと を こちょこちょ して かのじょ は おおわらい した。;He playfully tickled his sister, and she burst into laughter.;こちょこちょ	コチョコチョ	tickle	action
彼の冗談にこちんとしてしまった。;かれ の じょうだん に こちん と して しまった。;I got irritated at his joke.;こちん	コチン	"irritated, getting mad"	mood	nervous
ドアが閉まると、こちんと鍵がロックされた。;どあ が しまる と、こちん と かぎ が ろっく された。;When the door closed, the lock clunked into place.;こちん	コチン	clunking	onomatopoeia
洗濯物がこちんこちんに乾いている。;せんたくもの が こちんこちん に かわいて いる。;The laundry is dry and stiff.;こちんこちん	コチンコチン	dry and hard	physical state	stiff
スープが冷めて、野菜がこちんこちんに固くなってしまった。;すーぷ が さめて、やさい が こちんこちん に かたくなってしまった。;The soup cooled down, and the vegetables became dry and hard.;こちんこちん	コチンコチン	"dry and hard, emphatic"	texture
授業中にこっくりと居眠りしてしまった。;じゅぎょうちゅうに こっくりと いねむりしてしまった。;I accidentally nodded off during the class.;こっくり	コックリ	to nod off	body function	sleep
彼は疲れていて、会議中にこっくりと仮眠をとってしまった。;かれは つかれていて、かいぎちゅうに こっくりと かみんを とってしまった。;He was tired and ended up nodding off during the meeting.;こっくり	コックリ	nodding sharply	performing an action
彼は授業中、こっくりこっくりと居眠りをしていた。;かれ は じゅぎょうちゅう、こっくりこっくり と いねむり を していた。;He was nodding off repeatedly during the class.;こっくりこっくり	コックリコックリ	to nod off repeatedly	body function	sleep
にわとりがこっこっと鳴いている。;に わ と り が こっこっ と な い て い る;The chicken is clucking.;こっこっ	コッコッ	clucking	onomatopoeia	chicken
彼は毎日コツコツと勉強しています。;かれ は まいにち コツコツ と べんきょう しています。;He studies diligently every day.;こつこつ	コツコツ	knocking	onomatopoeia
彼は毎日こつこつ勉強している。;かれ は まいにち こつこつ べんきょう して いる 。;He studies diligently every day.;こつこつ	コツコツ	trotting	onomatopoeia
彼はこつこつと勉強して、試験に合格しました。;かれ は こつこつ と べんきょう して しけん に ごうかく しました。;He studied diligently and passed the exam.;こつこつ	コツコツ	steps	onomatopoeia
彼は毎日こつこつと仕事を続け、最終的にはプロジェクトを成功させました。;かれ は まいにち こつこつ と しごと を つづけ、さいしゅうてき には プロジェクト を せいこう させました。;He worked untiringly every day, and eventually succeeded in completing the project.;こつこつ	コツコツ	"untiringly, to work slow but steady"	work attitude
この山の頂上はごつごつしている。;この やま の ちょうじょう は ごつごつ している。;The summit of this mountain is rugged.;ごつごつ	ゴツゴツ	rugged	form
彼の手はごつごつしていて、暖かい。;かれ の て は ごつごつ して いて、 あたたかい。;His hands are rough, but warm.;ごつごつ	ゴツゴツ	knocking	onomatopoeia
彼はこっそりと部屋を出た。;かれ は こっそり と へや を でた。;He quietly left the room.;こっそり	コッソリ	secretly	action
彼は貯金をゴッソリ使って新しい車を買った。;かれ は ちょきん を ごっそり つかって あたらしい くるま を かった。;He spent his entire savings to buy a new car.;ごっそり	ゴッソリ	entirely	quantity
彼は本棚の本を一気にごっそり運び出した。;かれ は ほんだな の ほん を いっき に ごっそり はこびだした。;He carried out the books from the bookshelf in one big go.;ごっそり	ゴッソリ	a large (not per se literally) move	quantity
このパンは、昨日焼いたのにもうこっちんこっちんだ。;この ぱん は、 きのう やいた の に もう こっちんこっちん だ。;This bread was baked yesterday, but it's already dry and hard.;こっちんこっちん	コッチンコッチン	dry and hard	physical state	stiff
このパンはこっちんこっちんになってしまった。;この ぱん は こっちん こっちん に なって しまった。;This bread has become dry and hard.;こっちんこっちん	コッチンコッチン	"dry and hard, emphatic"	texture
彼はドアにごつっと頭をぶつけた。;かれ は ドア に ごつっ と あたま を ぶつけた。;He bumped his head against the door with a thud.;ごつっ	ゴツッ	the sound of bumping into something hard	action	hitting something
このカレーはとてもこってりしていて美味しいです。;この かれー は とても こってり していて おいしい です。;This curry is very rich and delicious.;こってり	コッテリ	"heavy, rich flavour"	flavour
このラーメンはこってりしていて、とても満足だ。;この らーめん は こってり していて 、 とても まんぞく だ 。;This ramen is thick and heavy, making it very satisfying.;こってり	コッテリ	"thick, heavy"	resultant state
水車がこっとんこっとんと回っている。;すいしゃ が こっとん こっとん と まわって いる。;The watermill is turning with a 'kotton kotton' sound.;こっとんこっとん	コットンコットン	the sound a watermill makes	onomatopoeia
電車がごっとんごっとんと線路を走っていった。;でんしゃ が ごっとん ごっとん と せんろ を はしって いった。;The train rumbled heavily along the tracks.;ごっとんごっとん	ゴットンゴットン	heavy rumbling	onomatopoeia	train
彼は頭をこつんとドアにぶつけた。;かれ は あたま を こつん と どあ に ぶつけた。;He accidentally bumped his head against the door.;こつん	コツン	something heavy hitting something hard accidentally	action	hitting something
彼の頭が棚にごつんとぶつかった。;かれ の あたま が たな に ごつん と ぶつかった。;His head accidentally banged against the shelf.;ごつん	ゴツン	something heavy hitting something hard accidentally	action	hitting something
私は頭をドアにごつんとぶつけた。;わたし は あたま を どあ に ごつん と ぶつけた。;I struck my head against the door.;ごつん	ゴツン	strike	action	striking
ドアが風でごつんごつんと揺れる音がした。;ドア が かぜ で ごつん ごつん と ゆれる おと が した。;The door thumped repeatedly in the wind.;ごつんごつん	ゴツンゴツン	thumping repeatedly	action	striking
彼の絵はこてこてに塗られていて、印象的だった。;かれ の え は こてこて に ぬられて いて、 いんしょうてき だった。;His painting was excessively coated and was quite impressive.;こてこて	コテコテ	"excessively, heavily, profusely (painting)"	to appear to be
彼はごてごて文句を言い続けた。;かれ は ごてごて もんく を いい つづけた。;He persistently complained.;ごてごて	ゴテゴテ	persistently complaining	speech
彼女の部屋はゴテゴテに飾られている。;かのじょ の へや は ごてごて に かざられている。;Her room is decorated thickly.;ごてごて	ゴテゴテ	"thickly, heavily (varieties)"	to appear to be
彼は試合で相手をこてんこてんに打ち負かした。;かれ は しあい で あいて を こてんこてん に うちまかした。;He overwhelmingly defeated his opponent in the match.;こてんこてん	コテンコテン	overwhelmingly attack(ed)	mental state
彼は試合でこてんぱんにされた。;かれ は しあい で こてんぱん に された。;He was beaten to a pulp in the match.;こてんぱん	コテンパン	to turn someone into a pulp	mental state
彼女は小さな子供たちの面白い話を聞きながら、ことことと笑った。;かのじょ は ちいさな こどもたち の おもしろい はなし を ききながら、ことこと と わらった。;She giggled softly and happily while listening to the funny stories of the little children.;ことこと	コトコト	"soft, happy"	laughter
スープがことこと煮えています。;すーぷ が ことこと にえています。;The soup is simmering gently.;ことこと	コトコト	boiling	onomatopoeia
お鍋の中でスープがコトコトと煮えている。;お なべ の なか で スープ が コトコト と にえて いる。;The soup is simmering with a gentle rattling in the pot.;ことこと	コトコト	rattling	onomatopoeia
スープがことこと煮えています。;すーぷ が ことこと にえています。;The soup is lightly boiling.;ことこと	コトコト	boiling lightly	state	liquids
中でスープがごとごと煮えている。;なか で すーぷ が ごとごと にえている。;The soup is boiling inside.;ごとごと	ゴトゴト	boiling	onomatopoeia
鍋の中でスープがごとごと煮えている。;なべ の なか で すーぷ が ごとごと にえている。;The soup is boiling strongly in the pot.;ごとごと	ゴトゴト	boiling strongly	state	liquids
彼は答えを出しながらごにょごにょと話していた。;かれ は こたえ を だしながら ごにょごにょ と はなしていた。;He was mumbling while giving his answer.;ごにょごにょ	ゴニョゴニョ	mumbling	speech
川の水がごぼごぼと音を立てて流れている。;かわ の みず が ごぼごぼ と おと を たてて ながれて いる。;The river's water is flowing with a gurgling sound.;ごぼごぼ	ゴボゴボ	gurgling	onomatopoeia	water
彼は風邪を引いて、喉をごぼごぼとうがいしました。;かれ は かぜ を ひいて、のど を ごぼごぼ と うがい しました。;He caught a cold and gargled his throat with a gurgling sound.;ごぼごぼ	ゴボゴボ	gargling	onomatopoeia
水がゴボゴボと音を立てて流れる。;みず が ごぼごぼ と おと を たてて ながれる。;The water flows with a gurgling sound.;ごぼごぼ	ゴボゴボ	gurgling	onomatopoeia
彼は水槽の中を見て、魚が泳ぎながら水がゴボゴボと泡立っているのを観察しました。;かれ は すいそう の なか を みて、さかな が およぎながら みず が ごぼごぼ と あわだっている の を かんさつしました。;He looked inside the aquarium and observed the fish swimming as the water gurgled and bubbles formed.;ごぼごぼ	ゴボゴボ	gurgling	state	liquids
車が壁にぶつかって、ごぼっとへこんだ。;くるま が かべ に ぶつかって、ごぼっ と へこんだ。;The car hit the wall and got a dent, making a "gobo" sound.;ごぼっ	ゴボッ	dented (by impact)	resultant state
その車は事故でごぼっとへこんでしまった。;その くるま は じこ で ごぼっ と へこんで しまった。;The car got dented in an accident.;ごぼっ	ゴボッ	dented (by impact)	shape
彼は風邪をひいて、ごほんごほんと咳をしています。;かれ は かぜ を ひいて ごほんごほん と せき を して います 。;He caught a cold and is coughing repeatedly.;ごほんごほん	ゴホンゴホン	coughing	onomatopoeia	human noises
彼はコマゴマと彼の冒険について話した。;かれ は こまごま と かれ の ぼうけん について はなした。;He talked in meticulous detail about his adventure.;こまごま	コマゴマ	describing in meticulous detail	speech
タコの刺身を食べる時、そのこりこりした触感がたまらない。;たこ の さしみ を たべる とき、その こりこり した しょっかん が たまらない。;When I eat octopus sashimi, I can't get enough of that crunchy texture.;こりこり	コリコリ	scraping	onomatopoeia
このサラダにコリコリとしたクルトンがとても合います。;この さらだ に こりこり と した くるとん が とても あいます。;The crunchy croutons complement this salad very well.;こりこり	コリコリ	crunchy	texture
ネズミがチーズをごりごりかじる音が聞こえる。;ねずみ が ちーず を ごりごり かじる おと が きこえる。;I can hear the sound of the mouse nibbling on the cheese.;ごりごり	ゴリゴリ	nibbling	onomatopoeia
彼は木材をごりごりとノコギリで切った。;かれ は もくざい を ごりごり と のこぎり で きった。;He sawed the lumber with a saw, making a grating sound.;ごりごり	ゴリゴリ	sawing	onomatopoeia
彼はブラシを使って床をごりごり掃除している。;かれ は ぶらし を つかって ゆか を ごりごり そうじ している。;He is scrubbing the floor hard with a brush.;ごりごり	ゴリゴリ	scrub something hard	performing an action
このスープにはごりごりした野菜が入っています。;この すーぷ に は ごりごり した やさい が はいって います。;This soup contains hard vegetables.;ごりごり	ゴリゴリ	"hard, having a hard core"	texture
ごりごりとした筋肉を持った彼は、毎日ジムでのトレーニングを欠かさない。;ごりごり と した きんにく を もった かれ は、まいにち ジム で の トレーニング を かかさない。;He has firmly-muscled body and never misses a day of training at the gym.;ごりごり	ゴリゴリ	firm-muscled	the body
彼女は楽しそうにころころと笑った。;かのじょ は たのし そう に ころころ と わらった。;She laughed with a pleasant, light-hearted chuckle.;ころころ	コロコロ	a young woman's laughter	laughter
猫がボールをころころと転がして遊んでいる。;ねこ が ぼーる を ころころ と ころがして あそんでいる。;The cat is playing by rolling the ball over and over.;ころころ	コロコロ	roll over and over	motions	rolling
夜の静けさを破るコオロギのコロコロと鳴く声。;よる の しずけさ を やぶる コオロギ の コロコロ と なく こえ。;The chirping sounds of the cricket break the silence of the night.;ころころ	コロコロ	raw chirp	onomatopoeia	cricket
彼は性格がころころ変わるので、他の人を困惑させている。;かれ は せいかく が ころころ かわる ので、ほか の ひとを こんわく させている。;His personality changes so easily that he confuses others.;ころころ	コロコロ	easily changed [personality]	personal traits
赤ちゃんはころころした体を持っている。;あかちゃん は ころころ した からだ を もっている。;The baby has a plump, round body.;ころころ	コロコロ	"plump, round"	the body
日曜日は家でごろごろしていた。;にちようび は いえ で ごろごろ して いた。;I was loafing around at home on Sunday.;ごろごろ	ゴロゴロ	loafing	mental state	not with it
猫が床でごろごろしている。;ねこ が ゆか で ごろごろ して いる。;The cat is rolling around on the floor.;ごろごろ	ゴロゴロ	"roll over and over, rumbling"	motions	rolling
猫がゴロゴロと喉を鳴らしています。;ねこ が ごろごろ と のど を ならして います。;The cat is purring.;ごろごろ	ゴロゴロ	purrrr	onomatopoeia	cat
おなかがごろごろうごいている。;お なか が ごろごろ うごいている。;My stomach is growling.;ごろごろ	ゴロゴロ	growling stomach	onomatopoeia	human noises
雷がごろごろと鳴っています。;らい が ごろごろ と なっ て い ます。;The thunder is rumbling.;ごろごろ	ゴロゴロ	rumbling	onomatopoeia
私は休日に家でごろごろしていた。;わたし は きゅうじつ に いえ で ごろごろ して いた。;I was lounging around at home on my day off.;ごろごろ	ゴロゴロ	to lie sprawled	performing an action
おもちゃがへやじゅうにごろごろしている。;おもちゃ が へや じゅう に ごろごろ して いる。;Toys are scattered all over the room.;ごろごろ	ゴロゴロ	all over the place	spacial orientation
ボールは坂をころころっと転がった。;ぼーる は さか を ころころっと ころがった。;The ball rolled over and over down the hill.;ころころっ	コロコロッ	roll over and over	motions	rolling
雷がゴロゴロっと鳴った。;かみなり が ごろごろっと なった。;The thunder rumbled.;ごろごろっ	ゴロゴロッ	"roll over and over, rumbling"	motions	rolling
彼は突然コロッと意見を変えた。;かれ は とつぜん ころっと いけん を かえた。;He suddenly came around and completely changed his opinion.;ころっ	コロッ	"come around completely, totally changing opinion"	action	sudden
そのサッカーボールはとてもころっとしていて、転がすのが楽しいです。;その さっかーぼーる は とても ころっと していて、ころがす の が たのしい です。;That soccer ball is very round and swollen, making it fun to roll around.;ころっ	コロッ	"round, swollen"	form
昨日のプレゼンをころっと忘れちゃった。;きのう の ぷれぜん を ころっと わすれちゃった。;I completely forgot about yesterday's presentation.;ころっ	コロッ	forgetting completely and utterly	mental state
彼は意見をころっと変えてしまった。;かれ は いけん を ころっと かえて しまった。;He easily changed his opinion.;ころっ	コロッ	easily changed [personality]	personal traits
彼はころっと亡くなってしまったので驚いた。;かれ は ころっと なくなって しまった ので おどろいた。;I was surprised because he suddenly and abruptly passed away.;ころっ	コロッ	"a sudden, abrupt, death"	physical health	death
彼の意見はコロッと変わった。;かれ の いけん は ころっと かわった。;His opinion changed completely.;ころっ	コロッ	completely change (suddenly)	resultant state
大きな石が山の斜面をゴロッと落ちてきた。;おおき な いし が やま の しゃめん を ごろっ と おちてきた。;A large rock suddenly rolled down the mountain slope.;ごろっ	ゴロッ	"sudden, single, roll"	motions	rolling
彼は日曜日にソファの上で一日中ゴロッとしています。;かれ は にちようび に ソファ の うえ で いちにちじゅう ゴロッと して います。;He is lying lazily on the sofa all day on Sunday.;ごろっ	ゴロッ	lieing down lazily 	performing an action
彼は新しい情報を聞いてころりと意見を変えた。;かれ は あたらしい じょうほう を きいて ころり と いけん を かえた。;He completely changed his opinion when he heard the new information.;ころり	コロリ	"come around completely, totally changing opinion"	action
試験前夜、緊張で全てをコロリと忘れてしまった。;しけん ぜんや、きんちょう で すべて を ころり と わすれて しまった。;On the night before the exam, I became so nervous that I forgot everything just like that.;ころり	コロリ	forgetting just like that	mental state
子猫がころりと転がった。;こねこ が ころり と ころがった。;The kitten rolled over effortlessly.;ころり	コロリ	"roll over, fall down flat"	performing an action
彼は意見がころりと変わった。;かれ は いけん が ころり と かわった。;He easily changed his opinion.;ころり	コロリ	easily changed [personality]	personal traits
彼は病気で突然ころりと亡くなってしまった。;かれ は びょうき で とつぜん ころり と なくなって しまった。;He suddenly died from his illness.;ころり	コロリ	"a sudden, abrupt, death"	physical health	death
彼はベッドにごろりと横になった。;かれ は べっど に ごろり と よこ に なった。;He rolled onto the bed.;ごろり	ゴロリ	rolling once	motions	rolling
彼はソファでごろりと横になった。;かれ は そふぁ で ごろり と よこ に なった。;He lay down lazily on the sofa.;ごろり	ゴロリ	lieing down lazily 	performing an action
石がころりころりと坂を転がった。;いし が ころり ころり と さか を ころがった。;The stone rolled down the hill intermittently.;ころりころり	コロリコロリ	rolling at intervals	motions	rolling
犬は芝生の上でごろんと転がっていました。;いぬ は しばふ の うえ で ごろん と ころがっていました;The dog was rolling on the grass.;ごろん	ゴロン	a sudden single roll	motions	rolling
ボールがころんころんと坂を下っていく。;ぼーる が ころん ころん と さか を くだって いく。;The ball rolls down the slope, tumbling at intervals.;ころんころん	コロンコロン	rolling at intervals	motions	rolling
このセーターは洗った後でごわごわになった。;この せーたー は あらった あと で ごわごわ に なった。;This sweater became stiff and rough after washing it.;ごわごわ	ゴワゴワ	"stiff, rough"	physical state	rough
森の中でキツネがこんこんと鳴いていました。;もり の なか で きつね が こんこん と ないて いました。;In the forest, the fox was barking 'kon kon'.;こんこん	コンコン	barking	onomatopoeia	fox
彼は風邪を引いて、こんこんと咳をしている。;かれ は かぜ を ひいて、こんこん と せき を している。;He caught a cold and is coughing.;こんこん	コンコン	coughing	onomatopoeia	human noises
涙がこんこんと流れて止まらなかった。;なみだ が こんこんと ながれて とまらなかった。;Tears welled up and flowed continuously, unable to be stopped.;こんこん	コンコン	"well up, gush out"	state	liquids
雨がザーザー降っています。;あめ が ざーざー ふって います。;It's pouring rain.;ざーざー	ザーザー	showering down	onomatopoeia	water
雨がざーざー降っています。;あめ が ざーざー ふっています。;It is pouring rain.;ざーざー	ザーザー	"spraying, pouring"	onomatopoeia
外の雨はザーザー降っています。;そとの あめは ざーざー ふっています。;The rain outside is pouring down heavily.;ざーざー	ザーザー	showering down (like rain)	state	liquids
雨がザーザー降っています。;あめ が ざーざー ふっています。;It is raining cats and dogs.;ざーざー	ザーザー	raining cats and dogs	weather	rain
彼は車が通り過ぎたのを見て、さーっと身を隠した。;かれ は くるま が とおりすぎた の を みて、 さーっと み を かくした。;He suddenly hid himself when he saw the car pass by.;さーっ	サーッ	sudden	motions
雨がざーっと降り始めました。;あめ が ざーっと ふりはじめ ました。;The rain started pouring down.;ざーっ	ザーッ	pouring	onomatopoeia
ザーッと走り去った。;ざーっと はしりさった。;He swiftly ran away.;ざーっ	ザーッ	swift	performing an action
雨がザーッと降ってきた。;あめ が ざーっ と ふって きた。;The rain started to pour down forcefully.;ざーっ	ザーッ	forcefully showering down	state	liquids
ザーッと雨が降ってきた。;ざーっ と あめ が ふってきた。;The rain started pouring down.;ざーっ	ザーッ	pouring down	weather	rain
その古い家の床は、毎回歩くたびにサクサクと音を立てる。;その ふるい いえ の ゆか は 、 まいかい あるく たび に サクサク と おと を たてる 。;The floor of that old house creaks every time you walk on it.;さくさく	サクサク	creaking	onomatopoeia
りんごをかじると、さくさくした音がした。;りんご を かじる と、さくさく した おと が した。;When I bit into the apple, it made a crunchy sound.;さくさく	サクサク	crunching	onomatopoeia
このチョコレートバーは中にサクサクのウエハースが入っています。;この ちょこれーと ばー は なか に さくさく の うえはーす が はいって います。;This chocolate bar has a freshly crisp wafer inside.;さくさく	サクサク	freshly crisp	texture
このパンはさくっと切れますよ。;この ぱん は さくっと きれます よ。;You can slice this bread easily with a clean cut.;さくっ	サクッ	cutting of sharply	performing an action	cutting
包丁で大根をザクッと切る。;ほうちょう で だいこん を ざくっ と きる。;I slice deep into the radish with a kitchen knife.;ざくっ	ザクッ	cutting deeply	performing an action	cutting
彼は慎重に紙をさくりと切りました。;かれ は しんちょう に かみ を さくり と きりました。;He carefully cut the paper with a clean slice.;さくり	サクリ	clean cutting	performing an action	cutting
雨がざざーっと降り始めた。;あめ が ざざーっと ふりはじめた。;The rain started showering down.;ざざーっ	ザザーッ	showering down (like rain)	state	liquids
突然の動きにさっサッと反応する。;とつぜん の うごき に さっ サッ と はんのう する。;(They) respond with sudden motions to unexpected movements.;さっ	サッ	sudden	motions
彼は新聞をさっさと読んだ。;かれ は しんぶん を さっさ と よんだ。;He quickly glanced over the newspaper.;さっ	サッ	glance over	performing an action	read
彼は車を見てすぐさっ飛んで避けた。;かれ は くるま を みて すぐ さっと とんで よけた。;He quickly dodged out of the way upon seeing the car.;さっ	サッ	dodging something quickly	performing an action
彼は会議の準備をさっさと終えた。;かれ は かいぎ の じゅんび を さっさ と おえた。;He quickly finished the preparations for the meeting.;さっ	サッ	"quickly, adroitly"	performing an action
彼はさっさと宿題を終わらせた。;かれ は さっさ と しゅくだい を おわらせた。;He swiftly finished his homework.;さっ	サッ	"swift, fast"	performing an action
雨がざっと降ってきた。;あめ が ざっと ふって きた。;The rain poured down suddenly.;ざっ	ザッ	pouring	onomatopoeia
彼はざっと報告書を読んだ。;かれ は ざっと ほうこくしょ を よんだ。;He skimmed over the report.;ざっ	ザッ	skim over	performing an action	read
彼はざっと部屋を掃除しました。;かれは ざっと へやを そうじしました。;He quickly cleaned the room.;ざっ	ザッ	"quick, rough"	performing an action
彼はざっと100本の映画を見た。;かれ は ざっと ひゃく ほん の えいが を みた。;He has roughly watched 100 movies.;ざっ	ザッ	"roughly, approximately"	quantity
彼は宿題をさっさと終わらせた。;かれは しゅくだいを さっさと おわらせた。;He finished his homework quickly.;さっさ	サッサ	quickly	action
彼はさっさと歩いて駅に向かった。;かれ は さっさ と あるいて えき に むかった。;He walked quickly towards the station.;さっさ	サッサ	"quickly, hastily"	performing an action	walking
お風呂に入った後はさっぱりした気分だ。;お ふろ に はいった あと は さっぱり した きぶん だ。;I feel refreshed after taking a bath.;さっぱり	サッパリ	"refreshed, relieved"	feelings
このレモンジュースはさっぱりしていて夏にぴったりです。;この れもん じゅーす は さっぱり していて なつ に ぴったり です。;This lemon juice is refreshing and perfect for summer.;さっぱり	サッパリ	refreshing	flavour
彼が英語を話しているのを聞いても、私はさっぱりわからない。;かれ が えいご を はなしている の を きいても、わたし は さっぱり わからない。;Even when I listen to him speak English, I don't understand it at all.;さっぱり	サッパリ	"not at all, not in the slightest"	performing an action
彼はさっぱりとした性格で、何も隠さずに話してくれる。;かれ は さっぱり と した せいかく で、なにも かくさずに はなしてくれる。;He has an open and frank personality and will talk to you without hiding anything.;さっぱり	サッパリ	"open, frank (no negative connotation)"	personal traits
