私は新しいカタカナ辞典を借りました。;わたし は あたらしい かたかな じてん を かりました。;I borrowed a new Katakana dictionary.;hiragana	katakana	translation	applies to	more specifically
彼はプールでスイスイ泳いでいる。;かれ は ぷーる で すいすい およいでいる。;He is swimming smoothly in the pool.;すいすい	スイスイ	moving unobstructed	performing an action	swimming
彼はすいすいと泳ぎます。;かれ は すいすい と およぎます。;He swims smoothly and effortlessly.;すいすい	スイスイ	flitting	performing an action
彼はスーっとドアを開けて、部屋に入りました。;かれ は すーっ と どあ を あけて、へや に はいりました。;He quickly and smoothly opened the door and entered the room.;すー	スー	quickly and smoothly	motions
窓を開けると、涼しい風がスースーと部屋に入ってきた。;まど を あける と、 すずしい かぜ が すーすー と へや に はいってきた。;When I opened the window, a cool breeze passed through the room.;すーすー	スースー	a cool feeling like a wind passes through	feelings
風が窓の隙間からスースーと音を立てて吹いている。;かぜ が まど の すきま から すーすー と おと を たてて ふいて いる。;The wind is hissing as it blows through the gap in the window.;すーすー	スースー	"hissing, whistling"	onomatopoeia
おばあさんは、お茶を飲む時にすーすーと音を立てました。;おばあさん は 、 おちゃ を のむ とき に すーすー と おと を たてました。;Grandmother made a sucking sound when she drank tea.;すーすー	スースー	sucking	onomatopoeia
すきま風がスースー吹いている。;すきまかぜ が すーすー ふいて いる。;A draft is blowing intermittently through the gap.;すーすー	スースー	air passing through a small opening intermittently	state	air
彼女の目から涙がスーッと流れ落ちた。;かのじょ の め から なみだ が すーっと ながれおちた。;Tears gently flowed down from her eyes.;すーっ	スーッ	tears running down the face	crying
風呂に入って、すーっとした気分になった。;ふろ に はいって、すーっと した きぶん に なった。;I took a bath and felt refreshed.;すーっ	スーッ	feeling refreshed	feelings
彼は試験が終わってやっとすーっとした。;かれ は しけん が おわって やっと すーっと した。;He felt so relieved after the exam finally ended.;すーっ	スーッ	relieved	mood	relieved
スープを飲む時、彼女は「スーッ」と音を立ててすすった。;すーぷ を のむ とき、かのじょ は 「すーっ」 と おと を たてて すすった。;When drinking the soup, she made a 'suu' sound as she sipped it.;すーっ	スーッ	sucking	onomatopoeia	human noises
彼は熱いお茶をすーっと吸った。;かれ は あつい おちゃ を すーっと すった。;He sipped on the hot tea with a 'suu' sound.;すーっ	スーッ	sucking	onomatopoeia
彼女は熱いスープをすーっと飲んだ。;かのじょ は あつい スープ を すーっと のんだ。;She inhaled the hot soup with a sip.;すーっ	スーッ	inhaling	performing an action
風船が空にスーッと上がっていった。;ふうせん が そら に すーっと あがって いった。;The balloon swiftly rose up into the sky.;すーっ	スーッ	"swift, smooth"	performing an action
エアコンのフィルターから空気がスーッと漏れている。;えあこん の ふぃるたー から くうき が すーっ と もれている。;Air is leaking through the air conditioner filter.;すーっ	スーッ	leaking through	state	air
電車がすかすかで、座れた。;でんしゃ が すかすか で、すわれた。;The train was empty, and I got a seat.;すかすか	スカスカ	without a hitch	motions
庭の土は乾燥してスカスカになっている。;にわ の つち は かんそう して すかすか になって いる。;The soil in the garden has dried out and become dry and cracked.;すかすか	スカスカ	dry and cracked	texture
彼はずかずかと私の部屋に入ってきた。;かれ は ずかずか と わたし の へや に はいってきた。;He unhesitatingly entered my room.;ずかずか	ズカズカ	unhesitatingly	performing an action
彼女の謝罪を聞いて、心がすかっとしました。;かのじょ の しゃざい を きいて、こころ が すかっと しました。;Hearing her apology made me feel completely relieved.;すかっ	スカッ	"fresh, free of ill feelings"	feelings
風がすかっと吹き抜けた。;かぜ が すかっと ふきぬけた 。;The wind blew cleanly through.;すかっ	スカッ	cutting clean	performing an action	cutting
そのスーツはすかっとして見えます。;その すーつ は すかっと して みえます。;That suit looks neat and smart.;すかっ	スカッ	"neat, smart, clean"	personal attire
この新鮮な空気を吸って、気持ちがすかっとした。;この しんせん な くうき を すって、きもち が すかっと した。;Breathing in this fresh air, I felt clear and refreshed.;すかっ	スカッ	free from ill feeling	personal traits
彼女のスピーチはスカッとわかりやすかったです。;かのじょ の すぴーち は すかっ と わかりやすかった です。;Her speech was clear-cut and easy to understand.;すかっ	スカッ	clear-cut	speech
今日は空も晴れていて、とてもすかっとした一日です。;きょう は そら も はれて いて、 とても すかっと した いちにち です。;Today the sky is clear and it's a very pleasantly fresh day.;すかっ	スカッ	"clear, pleasantly fresh"	weather	clear
頭がずきずきする。;あたま が ずきずき する。;My head is throbbing with pain.;ずきずき	ズキズキ	"a throbbing, pulsing pain"	feelings	pain
彼の心に突然、罪悪感がずきんと走った。;かれ の こころ に とつぜん ざいあくかん が ずきん と はしった。;Suddenly, a pang of guilt ran through his heart.;ずきん	ズキン	"a pang of consciousness, a momentary powerfull emotion"	emotions
頭が急にズキンと痛くなった。;あたま が きゅう に ズキン と いたく なった。;I suddenly felt a sharp pain in my head.;ずきん	ズキン	"a sharp, single, pain (stronger than ずきずき)"	feelings	pain
頭がずきんずきん痛む。;あたま が ずきんずきん いたむ。;My head throbs with pain.;ずきんずきん	ズキンズキン	continuous throbbing pain	feelings	pain
子供たちはすくすくと成長しています。;こどもたちは すくすく と せいちょう しています。;The children are growing up well and strong.;すくすく	スクスク	to grow well and strong	physical health	good
彼はずけずけと私に言いたいことを言ってきた。;かれ は ずけずけ と わたし に いいたいこと を いってきた。;He bluntly told me what he wanted to say.;ずけずけ	ズケズケ	saying something straight	action
彼は会議で上司にずけずけと意見を言った。;かれ は かいぎ で じょうし に ずけずけ と いけん を いった。;He bluntly expressed his opinions to his boss during the meeting.;ずけずけ	ズケズケ	to say unpleasant things to someone's face	speech
大きな男性がズシズシと歩いていた。;おおきな だんせい が ずしずし と あるいていた。;A large man was walking with heavy footsteps.;ずしずし	ズシズシ	shuddering	onomatopoeia
遠くで大砲がずずんと鳴った。;とおく で たいほう が ずずん と なった。;In the distance, the cannon went kaboom.;ずずん	ズズン	"""kaboom"""	onomatopoeia	firing guns
地震が始まり、建物がズズンと揺れました。;じしん が はじまり、 たてもの が ずずん と ゆれました。;The earthquake started, and the building shook heavily.;ずずん	ズズン	shuddering	onomatopoeia
ズズンと雷が落ちた。;ずずん と かみなり が おちた。;The thunder crashed down loudly.;ずずん	ズズン	thundering	onomatopoeia
子猫がスタコラと庭を走り回っていた。;こねこ が すたこら と にわ を はしりまわっていた。;The kitten scampered around the garden.;すたこら	スタコラ	scampering off	performing an action	walking
彼は電車に乗り遅れないようにスタスタ歩いた。;かれ は でんしゃ に のり おくれない ように すたすた あるいた。;He walked hurriedly so as not to miss his train.;すたすた	スタスタ	hurried	performing an action	walking
その手紙はずたずたになってしまった。;その てがみ は ずたずた に なってしまった。;The letter ended up being torn to pieces.;ずたずた	ズタズタ	"in pieces, shredded"	resultant state
昨日のシャワーで、すっかりスッキリしました。;きのう の しゃわーで、すっかり すっきり しました。;After yesterday's shower, I felt completely refreshed.;すっ	スッ	feeling refreshed	feelings
彼は試験が終わってすっかり安心した顔をした。;かれ は しけん が おわって すっかり あんしん した かお を した。;He had a completely relieved look on his face after the exam was over.;すっ	スッ	relieved	mood	relieved
彼はドアをすっ開けた。;かれ は ドア を すっ あけた。;He quickly and smoothly opened the door.;すっ	スッ	quickly and smoothly	motions
子供がストローでジュースをすっすっと飲んでいる。;こども が すとろー で じゅーす を すっ すっ と のんでいる。;The child is sipping juice through a straw.;すっ	スッ	sucking	onomatopoeia	human noises
彼は冷たい空気をスッと吸い込んだ。;かれ は つめたい くうき を すっ と すいこんだ。;He inhaled the cold air with a swift motion.;すっ	スッ	inhaling	performing an action
彼はスッとドアを開けた。;かれ は すっ と どあ を あけた。;He swiftly opened the door.;すっ	スッ	"swift, smooth"	performing an action
給料日前はいつも財布はすっからかんです。;きゅうりょう まえ は いつも さいふ は すっからかん です。;Before payday, my wallet is always flat broke.;すっからかん	スッカラカン	flat broke	money issues
昨日の夢をすっかり忘れてしまいました。;きのう の ゆめ を すっかり わすれて しまいました。;I completely forgot yesterday's dream.;すっかり	スッカリ	completely	mental actions	recollection
彼は話し手としてすっかりプロになった。;かれ は はなして として すっかり プロ に なった。;He has completely become a professional as a speaker.;すっかり	スッカリ	"completely, wholly"	resultant state
彼は事件のことをすっかり忘れてしまった。;かれ は じけん の こと を すっかり わすれて しまった。;He completely forgot about the incident.;すっかり	スッカリ	disappear completely	resultant state
昨日のシャワーですっきりしました。;きのう の しゃわー で すっきり しました。;I felt refreshed after yesterday's shower.;すっきり	スッキリ	refreshed and clean	feelings
彼女のスーツはすっきりとしたデザインで、とても魅力的です。;かのじょ の すーつ は すっきり と した でざいん で、とても みりょくてき です。;Her suit has a shapely design, and it is very attractive.;すっきり	スッキリ	"well-formed, shapely"	personal attire
彼女の顔は、とてもスッキリしています。;かのじょ の かお は とても すっきり して います。;Her face is very well-formed.;すっきり	スッキリ	"well formed, shapely"	the face
子供たちは全員すっくと立ち上がり敬礼しました。;こどもたち は ぜんいん すっく と たちあがり けいれい しました。;All the children stood up straight and saluted.;すっく	スック	standing up straight	action	sudden
彼はすっくと立ち上がった。;かれ は すっく と たちあがった。;He suddenly stood up perfectly straight.;すっく	スック	suddenly standing perfectly straight	performing an action
この本はずっしりとしていて、片手で持つには重すぎる。;この ほん は ずっしり としていて、かたて で もつ には おもすぎる。;This book is weighty and too heavy to hold with one hand.;ずっしり	ズッシリ	weighty	to appear to be
彼は階段でつまずいてすってんころりんと転んだ。;かれ は かいだん で つまずいて すってんころりん と ころんだ。;He stumbled on the stairs and tumbled head over heels.;すってん	スッテン	plumping	performing an action
彼は階段でつまずいて、すってんころりんと落ちた。;かれ は かいだん で つまずいて、すってんころりん と おちた。;He stumbled on the stairs and fell flat, rolling over.;すってんころりん	スッテンコロリン	fall flat and roll over	performing an action
彼はギャンブルで負けて、すってんてんになってしまった。;かれ は ぎゃんぶる で まけて、すってんてん に なって しまった。;He lost at gambling and ended up completely cleaned out.;すってんてん	スッテンテン	to be cleaned out [money]	money issues
彼は思い切って彼女との関係をすっぱり切った。;かれ は おもいきって かのじょ との かんけい を すっぱり きった。;He decisively cut off his relationship with her.;すっぱり	スッパリ	cut off in a clean single cut	performing an action	cutting
彼は彼女との関係をすっぱりと断った。;かれ は かのじょ と の かんけい を すっぱり と たった。;He cut ties with her cleanly.;すっぱり	スッパリ	to cut clean	personal relations
彼は長年続けていたタバコをすっぱりやめた。;かれ は ながねん つづけて いた たばこ を すっぱり やめた。;He cleanly quit the habit of smoking that he had maintained for many years.;すっぱり	スッパリ	cutting clean	resultant state	habits
彼はたばこをすっぱりやめた。;かれ は たばこ を すっぱり やめた。;He quit smoking completely.;すっぱり	スッパリ	cut off clean	resultant state
彼女は湯船にずっぷり浸かっている 。;かのじょ は ゆぶね に ずっぷり つかっている 。;She is completely immersed in the bathtub.;ずっぷり	ズップリ	being immersed in liquid	action
雨でずっぷり濡れてしまった。;あめ で ずっぷり ぬれて しまった。;I got completely soaked in the rain.;ずっぷり	ズップリ	completely soaked	physical state	wet
彼女のハンドバッグから鍵がすっぽり出てきた。;かのじょ の はんどばっぐ から かぎ が すっぽり でてきた。;The key popped out from her handbag.;すっぽり	スッポリ	pop out	motions
その帽子が彼の頭をすっぽり覆った。;その ぼうし が かれ の あたま を すっぽり おおっ た。;The hat completely covered his head.;すっぽり	スッポリ	cover with something	motions
猫が布団にすっぽり入っている。;ねこ が ふとん に すっぽり はいって いる。;The cat is completely covered inside the futon.;すっぽり	スッポリ	completely covered	spacial orientation
彼は池にずっぽりと浸かってしまった。;かれ は いけ に ずっぽり と つかって しまった。;He was completely immersed in the pond.;ずっぽり	ズッポリ	being immersed in liquid	action
あの子は階段からすてんと落ちてしまった。;あの こ は かいだん から すてん と おちて しまった。;That child tumbled down the stairs.;すてん	ステン	tumbling a fall	performing an action
階段でつまづいてずでんと転んでしまった。;かいだん で つまづいて ずでん と ころんで しまった。;I stumbled on the stairs and fell down with a thud.;ずでん	ズデン	tumbling a fall	performing an action
彼は階段からすてんころりと落ちた。;かれ は かいだん から すてんころり と おちた。;He fell flat and rolled over down the stairs.;すてんころり	ステンコロリ	fall flat and roll over	performing an action
彼は階段からずてんどーしてしまった。;かれ は かいだん から ずてんどー して しまった 。;He took a tumble down the stairs, making a shuddering sound.;ずてんどー	ズテンドー	a tumble making a shuddering sound	performing an action
彼女は財布を台所のテーブルにストンと置いた。;かのじょ は さいふ を だいどころ の てーぶる に すとん と おいた。;She placed her purse on the kitchen table with a thud.;すとん	ストン	fall/drop suddenly	motions
彼女は驚いて荷物を地面にすとんと落とした。;かのじょ は おどろいて にもつ を じめん に すとん と おとした。;She was surprised and dropped the luggage suddenly on the ground.;すとん	ストン	suddenly	performing an action	falling
ビルが崩れ始めた時に、ズドンと大きな音が鳴りました。;びる が くずれ はじめた とき に, ずどん と おおきな おと が なりました。;When the building started to collapse, there was a loud 'kaboom' sound.;ずどん	ズドン	"""kaboom"""	onomatopoeia
大きな木が切り倒されて、地面にずどんと落ちた。;おおきな き が きりたおされて、ちめん に ずどん と おちた。;A large tree was cut down and fell to the ground with a thud.;ずどん	ズドン	a heavy object falling	performing an action
彼はナイフで野菜をスパスパ切っていた。;かれ は ないふ で やさい を すぱすぱ きって いた。;He was cleanly cutting the vegetables with a knife.;すぱすぱ	スパスパ	repetetively cut cleanly	performing an action	cutting
彼はタバコをスパスパ吸っています。;かれ は たばこ を すぱすぱ すっています。;He is puffing away at a cigarette.;すぱすぱ	スパスパ	puffing away at a smokable	performing an action
彼は会議でずばずば意見を述べた。;かれ は かいぎ で ずばずば いけん を のべた。;He got straight to the point with his opinions during the meeting.;ずばずば	ズバズバ	"getting to the point, not wasting words"	speech
彼はロープをスパッと切りました。;かれ は ろーぷ を すぱっ と きりました。;He swiftly cut the rope with a single stroke.;すぱっ	スパッ	a swift single cut	performing an action	cutting
彼は木の枝をズバッと切りました。;かれ は き の えだ を ずばっ と きりました。;He cleanly cut off the tree branch.;ずばっ	ズバッ	cut off in a clean single cut	performing an action	cutting
彼はずばっと意見を言った。;かれ は ずばっと いけん を いった。;He bluntly stated his opinion.;ずばっ	ズバッ	"blunt, unreserved"	speech
彼はロープをすぱりと切った。;かれ は ろーぷ を すぱり と きった。;He cut the rope in a clean single cut.;すぱり	スパリ	cut off in a clean single cut	performing an action	cutting
彼の意見はずばり的を射ている。;かれ の いけん は ずばり まとをいている。;His opinion hit the mark perfectly.;ずばり	ズバリ	to hit the mark	mental actions	ideas
彼はずばりと要点を話した。;かれ は ずばり と ようてん を はなした。;He boldly and concisely got to the point.;ずばり	ズバリ	with a bold cut	performing an action	cutting
彼は会議でずばりと意見を言った。;かれ は かいぎ で ずばり と いけん を いった。;He bluntly expressed his opinion in the meeting.;ずばり	ズバリ	"blunt, unreserved"	speech
彼は雨の中でずぶずぶに濡れてしまった。;かれ は あめ の なか で ずぶずぶ に ぬれて しまった。;He was sopping wet after being caught in the rain.;ずぶずぶ	ズブズブ	sopping wet	physical state	wet
彼女の肌はすべすべで触り心地が良い。;かのじょ の はだ は すべすべ で さわり ごこち が よい。;Her skin is smooth and feels nice to touch.;すべすべ	スベスベ	"smooth, slippery"	to appear to be
地震で家がスポッと動いた。;じしん で いえ が すぽっ と うごいた。;The house jolted strongly during the earthquake.;すぽっ	スポッ	jolt strongly	motions
子供が玩具のボックスからすぽりと消しゴムを取り出した。;こども が おもちゃ の ぼっくす から すぽり と けしごむ を とりだした。;The child popped out an eraser from the toy box.;すぽり	スポリ	pop out	motions
彼の手が帽子で頭をすぽりと覆った。;かれ の て が ぼうし で あたま を すぽり と おおった。;His hand covered his head completely with the hat.;すぽり	スポリ	cover with something	motions
ボールがすぽんと弾けて、向こうへ飛んで行った。;ぼーる が すぽん と はじけて、むこう へ とんで いった。;The ball popped with a bouncing force and flew to the other side.;すぽん	スポン	"popping, with a rebounding force"	motions
赤ちゃんがすやすや眠っている。;あかちゃん が すやすや ねむって いる。;The baby is sleeping calmly.;すやすや	スヤスヤ	to sleep calmly 	body function	sleep
彼女はすらーとした背が高い美しい女性です。;かのじょ は すらー と した せ が たかい うつくしい じょせい です。;She is a tall, elegantly slender, and beautiful woman.;すらー	スラー	emphatic form of すらり	the body
通りの両側に車がずらーっと並んでいる。;とおり の りょうがわ に くるま が ずらーっと ならんで いる。;Cars are lined up on both sides of the street.;ずらーっ	ズラーッ	lined up	spacial orientation
彼女は日本語の本をすらすらと読んでいました。;かのじょ は にほんご の ほん を すらすら と よんで いました。;She was smoothly reading a Japanese book.;すらすら	スラスラ	smoothly	motions
彼は日本語の本をすらすら読めるようになった。;かれ は にほんご の ほん を すらすら よめる よう に なった。;He has become able to read Japanese books fluently.;すらすら	スラスラ	fluently	performing an action	read
彼は日本語をすらすら話します。;かれ は にほんご を すらすら はなします。;He speaks Japanese smoothly.;すらすら	スラスラ	smoothly	speech
たくさんの木がずらずら並んでいる。;たくさん の き が ずらずら ならんでいる。;A lot of trees are lined up.;ずらずら	ズラズラ	lined up	spacial orientation
彼女のすらっとした体が印象的だった。;かのじょ の すらっと した からだ が いんしょうてき だった。;Her slender body was impressive.;すらっ	スラッ	emphatic form of すらり	the body
公園の桜の木がずらっと並んでいる。;こうえん の さくら の き が ずらっと ならんでいる。;The cherry blossom trees in the park are lined up beautifully.;ずらっ	ズラッ	lined up	spacial orientation
彼女はスラリとしたスタイルを持っている。;かのじょ は すらりと した スタイル を もっている。;She has a slender figure.;すらり	スラリ	slender	form
彼女はすらりと試験を通過した。;かのじょ は すらり と しけん を つうか した。;She passed the exam easily.;すらり	スラリ	"easily, without trouble"	motions
彼はすらりと壁をかわした。;かれ は すらり と かべ を かわした。;He smoothly dodged around the wall.;すらり	スラリ	smoothly	performing an action	dodging
彼女はすらりとした体つきで、どんな服でも似合います。;かのじょ は すらり と した からだつき で、どんな ふく でも にあいます。;She has a long and slender figure, and any clothing looks good on her.;すらり	スラリ	"long, slender, well-proportioned"	the body
彼の本棚には小説がずらりと並んでいる。;かれ の ほん だな に は しょうせつ が ずらり と ならんでいる。;His bookshelf is lined up with novels.;ずらり	ズラリ	lining up	action
店の前には、おいしそうなケーキがずらりと並んでいました。;みせ の まえ に は 、 おいしそう な けーき が ずらり と ならんで いました 。;In front of the store, there was a delicious-looking lineup of cakes.;ずらり	ズラリ	lined up	spacial orientation
子供たちは滑り台でスルスルと滑り降りた。;こどもたちは すべりだいで するする と すべりおりた。;The children slid down the slide smoothly.;するする	スルスル	"glide, slide"	motions
彼は窓からするするとロープを降りた。;かれ は まど から するする と ろーぷ を おりた。;He smoothly and swiftly descended down the rope from the window.;するする	スルスル	smooth and straight	motions
彼はするすると問題を解決しました。;かれ は するする と もんだい を かいけつ しました。;He solved the problem smoothly and easily.;するする	スルスル	"smoothly, easily"	motions
彼はするすると木に登った。;かれ は するする と き に のぼった。;He climbed the tree smoothly.;するする	スルスル	"smoothly, nimble"	performing an action	climbing
彼は重いスーツケースをずるずる引きずっていました。;かれ は おもい すーつけーす を ずるずる ひきずっていました。;He was dragging the heavy suitcase along the ground.;ずるずる	ズルズル	"trailing, dragging"	action
彼はずるずると試験に落ち続けている。;かれ は ずるずる と しけん に おち つづけている。;He is constantly failing exams in a sliding motion.;ずるずる	ズルズル	slide	motions
会議がずるずると続いた。;かいぎ が ずるずる と つづいた。;The meeting dragged on and on.;ずるずる	ズルズル	dragging on	resultant state
彼は階段からするっと落ちた。;かれ は かいだん から するっと おちた。;He slipped abruptly from the stairs.;するっ	スルッ	slip (abruptly)	motions
彼は石につまずいて、するっと滑った。;かれ は いし に つまずいて、するっと すべった。;He stumbled on a rock and slipped.;するっ	スルッ	"slip, slide"	performing an action
彼はするりと部屋を抜け出した。;かれ は するり と へや を ぬけだした。;He slipped out of the room quietly.;するり	スルリ	slip	motions
猫は犬をするりと避けて走り去った。;ねこ は いぬ を するり と よけて はしりさった。;The cat swiftly dodged the dog and ran away.;するり	スルリ	swiftly	performing an action	dodging
彼はロープをするりと握り直した。;かれ は ろーぷ を するり と にぎりなおした。;He slowly adjusted his grip on the rope.;するり	スルリ	"slowly slipping, sliding"	performing an action
彼は忍者のようにするりと敵の攻撃をかわした。;かれ は にんじゃ の よう に するり と てき の こうげき を かわした。;He skillfully dodged the enemy's attack like a ninja.;するり	スルリ	dodging skillfully	performing an action
そのトラックは塀にスレスレです。;その とらっく は へい に すれすれ です。;The truck is very close to the wall.;すれすれ	スレスレ	very close	available space
彼は電車にスレスレで間に合った。;かれ は でんしゃ に すれすれ で まにあった。;He barely made it to the train on time.;すれすれ	スレスレ	"barely, just in time"	temporal aspect
トトロはずんぐりした体型です。;と と ろ は ず ん ぐ り し た た い けい で す。;Totoro has a short, fat body.;ずんぐり	ズングリ	"short, fat"	form
彼の犬はずんぐりした体をしている。;かれ の いぬ は ずんぐり した からだ を している。;His dog has a short and pudgy body.;ずんぐり	ズングリ	"short and fat, short and pudgy"	the body
ずんぐりむっくりのくまが蜂蜜を食べています。;ずんぐり むっくり の くま が はちみつ を たべて います。;The short and pudgy bear is eating honey.;ずんぐりむっくり	ズングリムックリ	"short and fat, short and pudgy"	the body
天気がずんずん暑くなってきました。;てんき が ずんずん あつ く なって きました。;The weather is getting rapidly hotter.;ずんずん	ズンズン	"rapidly, noticably, markedly"	resultant state
彼女はスンナリした体型をしています。;かのじょ は すんなり した たいけい を しています。;She has a slender figure.;すんなり	スンナリ	slender	form
彼は試験にすんなり合格した。;かれ は しけん に すんなり ごうかく した。;He passed the exam smoothly.;すんなり	スンナリ	"smoothly, without resistance"	motions
彼女はすんなりした体をしている。;かのじょ は すんなり した からだ を して いる。;She has a slender body.;すんなり	スンナリ	slender	the body
テストが終わって、やっとせいせいした。;てすと が おわって、 やっと せいせい した。;I felt relieved after the test was over.;せいせい	ゼイゼイ	relieved	mood	relieved
彼は走った後、ぜーぜーと息をしていた。;かれ は はしった あと、 ぜーぜー と いき を して いた。;After running, he was wheezing.;ぜーぜー	ゼーゼー	wheezing	onomatopoeia	human noises
彼はいつもせかせかと動き回っています。;かれ は いつも せかせか と うごきまわって います。;He is always buzzing around restlessly.;せかせか	セカセカ	buzzing around	action
彼は朝から晩までせかせかと働いています。;かれ は あさ から ばん まで せかせか と はたらいて います。;He works restlessly from morning till night.;せかせか	セカセカ	"restlessly, doing something hurried"	action
彼はいつもせかせかしている。;かれ は いつも せかせか している。;He is always busy and unsettled.;せかせか	セカセカ	"busy and unsettled, restless"	mood	nervous
彼はセカセカと歩いている。;かれ は せかせか と あるいている。;He is walking hurriedly.;せかせか	セカセカ	"hurried, restlessly"	performing an action	walking
彼はいつもせかせかしていて、じっとしているのは苦手だ。;かれ は いつも せかせか していて、じっと している の は にがて だ。;He is always restless and cannot stand still.;せかせか	セカセカ	"restless, impetuously, hastily"	personal traits
田中さんは毎日せっせと仕事をしています。;たなかさんは まいにち せっせと しごとを しています。;Mr. Tanaka works diligently every day.;せっせ	セッセ	to work like a bee	work attitude
寒さで背中がぞくぞくしました。;さむさ で せなか が ぞくぞく しました。;I shivered from the cold.;ぞくぞく	ゾクゾク	to shiver from the cold	feelings	temperature
彼は恐怖映画を見て、ぞくぞくしていた。;かれ は きょうふ えいが を みて、 ぞくぞく して いた。;He was shivering with excitement while watching the horror movie.;ぞくぞく	ゾクゾク	excitement caused by fear or joy	mental state	scared
彼女はライブのチケットを手にして、ぞくぞくと嬉しさがこみ上げてきた。;かのじょ は らいぶ の ちけっと を て に して、ぞくぞく と うれしさ が こみあげてきた。;She held the concert ticket in her hand, and excitement and joy welled up inside her.;ぞくぞく	ゾクゾク	"joyful, excited with expectation"	mood	happy
冷たい風が吹くたびに、背筋がぞくっとした。;つめたい かぜ が ふく たびに、せすじ が ぞくっと した。;Each time the cold wind blew, I felt a shiver down my spine.;ぞくっ	ゾクッ	a momentary shiver of real cold (stronger than ぞくぞく)	feelings	temperature
心から願っていたのに、彼はソゴスゴと去っていった。;こころ から ねがって いた のに、 かれ は そごすご と さって いった。;Even though he wished from the bottom of his heart, he left with a heavy heart.;そごすご	ソゴスゴ	leaving with a heavy heart	mood	down
そこそこお金を持っている人は贅沢をすることができます。;そこそこ おかね を もっている ひと は ぜいたく を する こと が できます。;People who have around enough money can afford to indulge in luxury.;そこそこ	ソコソコ	"around, just about"	quantity
彼は授業の後、そそくさと教室を出ました。;かれ は じゅぎょう の あと、そそくさ と きょうしつ を で ました。;He hastily left the classroom after the lesson.;そそくさ	ソソクサ	"hastily, doing something only in part due to haste"	performing an action
彼女はそっとドアを閉めた。;かのじょ は そっと どあ を しめた。;She quietly closed the door.;そっ	ソッ	"softly, gently, quietly"	action
彼はそっと部屋を出た。;かれ は そっと へや を でた。;He quietly left the room.;そっ	ソッ	"quietly, avoiding sound, avoiding attracting attention"	action
彼女はそっとうさぎのように歩いた。;かのじょ は そっと うさぎ の よう に あるいた。;She walked softly like a rabbit.;そっ	ソッ	"soft, tenderly"	performing an action	walking
寒い冬の朝に、コートを忘れて外に出たとき、ぞっとした。;さむい ふゆの あさに、コートを わすれて そとに でた とき、ぞっと した。;On a cold winter morning, I shuddered as I stepped outside having forgotten my coat.;ぞっ	ゾッ	"shudder, to feel a chill come over oneself"	feelings	temperature
その話を聞いたとき、ぞっとした。;その はなし を きいた とき 、 ぞっと した 。;When I heard that story, I felt a chill.;ぞっ	ゾッ	feeling a chill shooting up the spine	feelings
私は恐ろしい話を聞いてゾッとしました。;わたし は おそろしい はなし を きいて ぞっ と しました。;I shuddered from fear after hearing the terrifying story.;ぞっ	ゾッ	"shuddering from fear, have ones hairs stand on end"	mental state	scared
彼は双子の兄とそっくりです。;かれ は ふたご の あに と そっくり です 。;He looks identical to his twin brother.;そっくり	ソックリ	identical	form
その双子はそっくりで、見分けがつきません。;その ふたご は そっくり で、みわけ が つきません。;Those twins look entirely alike and are indistinguishable.;そっくり	ソックリ	"entirely, wholly"	quantity
この兄弟は顔がそっくりです。;この きょうだい は かお が そっくり です。;These brothers look very similar.;そっくり	ソックリ	looking similar [to someone]	the face
彼女にぞっこんなんだ。;かのじょ に ぞっこん なん だ。;I am madly in love with her.;ぞっこん	ゾッコン	"madly in love, head over heels"	emotions	affection
風がそよそよと吹いている。;かぜ が そよそよ と ふいて いる。;The wind is gently blowing.;そよそよ	ソヨソヨ	"gently, softly"	weather	wind
彼は髭を剃るときに、いつもぞりぞりと音がする。;かれ は ひげ を そる とき に、 いつも ぞりぞり と おと が する。;When he shaves his beard, it always makes a zorizori sound.;ぞりぞり	ゾリゾリ	sound of hair being shaven	action
彼は砂利道をゾリゾリと歩いた。;かれ は じゃりみち を ぞりぞり と あるいた。;He walked along the gravel road, making a scraping sound.;ぞりぞり	ゾリゾリ	scraping	onomatopoeia
彼の服装はいつもぞろいで、職場に行くにはふさわしくありません。;かれ の ふくそう は いつも ぞろい で 、 しょくば に いく に は ふさわしく ありません 。;His attire is always sloppy and not suitable for going to the workplace.;ぞろい	ゾロイ	"sloppy, untidy (loose)"	personal attire
そろそろと歩く。;そろそろ と あるく。;Walk slowly.;そろそろ	ソロソロ	"slowly, leisurely"	action
そろそろ歩きます。;そろそろ あるきます。;I will walk slowly and leisurely.;そろそろ	ソロソロ	"slowly, leisurely"	performing an action	walking
そろそろ寝る時間です。;そろそろ ねる じかん です。;It's nearly time to go to bed.;そろそろ	ソロソロ	"soon, nearly"	temporal aspect
子どもたちがぞろぞろ列を作って歩いています。;こどもたち が ぞろぞろ れつ を つくって あるいて います。;The children are walking in a long line, dragging along.;ぞろぞろ	ゾロゾロ	drag along	action
人々がコンサート会場からぞろぞろと出てきた。;ひとびと が こんさーと かいじょう から ぞろぞろ と でて きた。;People streamed out from the concert hall.;ぞろぞろ	ゾロゾロ	stream out in numbers	action
彼のズボンが地面をぞろりと引きずっていた。;かれ の ずぼん が じめん を ぞろり と ひきずって いた。;His pants were hanging loose and dragging on the ground.;ぞろり	ゾロリ	hang loose and drag	action
